primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first
mötley crüe,1990,"""Without You""","""mötley crüe""",TRUE,1,BMG Rights Management (US) LLC,1987-05-15,BMG Rights Management (US) LLC,1990,FALSE,96,0,0,FALSE
jive bunny and the mastermixers,1990,"""Swing the Mood""","""jive bunny and the mastermixers""",TRUE,1,Polar Music International AB,1976,Polar Music International AB,1990,FALSE,97,0,0,FALSE
mellow man ace,1990,"""Mentirosa""","""mellow man ace""",TRUE,1,Capitol Records,1989-01-01,Capitol Records,1990,FALSE,99,0,0,FALSE
kyper,1990,"""Tic-Tac-Toe""","""kyper""",TRUE,1,Tip Top Records,2011-10-11,Tip Top Records,1990,FALSE,100,0,0,FALSE
color me badd,1991,"""I Wanna Sex You Up""","""color me badd""",TRUE,6,Giant,1991-03-05,Giant,1990,FALSE,2,5,2.23606797749979,TRUE
c+c music factory,1991,"""Gonna Make You Sweat (Everybody Dance Now)""","""c+c music factory""",TRUE,3,Columbia/Legacy,1990,Columbia; Legacy,1990,TRUE,3,2,1.4142135623730951,TRUE
timmy t,1991,"""One More Try""","""timmy t""",TRUE,1,Quality,1990-03-15,Quality,1990,FALSE,5,0,0,FALSE
emf,1991,"""Unbelievable""","""emf""",TRUE,1,Believe,1991-05-07,Believe,1990,FALSE,6,0,0,FALSE
extreme,1991,"""More Than Words""","""extreme""",TRUE,2,Soundings of the Planet,1989,Soundings of the Planet,1990,FALSE,7,1,1,TRUE
hi-five,1991,"""I Like the Way (The Kissing Game)""","""hi-five""",TRUE,3,Rhino,1980,Rhino,1990,TRUE,8,2,1.4142135623730951,TRUE
amy grant,1991,"""Baby Baby""","""amy grant""",TRUE,5,Amy Grant (AGG),1991,Amy Grant (AGG),1990,FALSE,10,4,2,TRUE
boyz ii men,1991,"""Motownphilly""","""boyz ii men""",TRUE,13,Qwest Records IGA,1991-01-01,Qwest Records IGA,1990,FALSE,11,12,3.4641016151377544,TRUE
stevie b,1991,"""Because I Love You (The Postman Song)""","""stevie b""",TRUE,2,Perpetual,2014-02-04,Perpetual,1990,FALSE,12,1,1,TRUE
damn yankees,1991,"""High Enough""","""damn yankees""",TRUE,1,Rhino/Warner Records,1990,Rhino; Warner Records,1990,TRUE,14,0,0,FALSE
jesus jones,1991,"""Right Here, Right Now""","""jesus jones""",TRUE,2,RT Industries,1991-01-28,RT Industries,1990,FALSE,17,1,1,TRUE
marky mark and the funky bunch,1991,"""Good Vibrations""","[""marky mark and the funky bunch"",""loleatta holloway""]",TRUE,2,Interscope,1991,Interscope,1990,FALSE,20,1,1,TRUE
tara kemp,1991,"""Hold You Tight""","""tara kemp""",TRUE,2,Rhino/Warner Records,1991,Rhino; Warner Records,1990,TRUE,25,1,1,TRUE
ralph tresvant,1991,"""Sensitivity""","""ralph tresvant""",TRUE,1,Blue Note Records,1951,Blue Note Records,1990,FALSE,29,0,0,FALSE
cathy dennis,1991,"""Touch Me (All Night Long)""","""cathy dennis""",TRUE,3,UMC (Universal Music Catalogue),1990-08-14,UMC (Universal Music Catalogue),1990,FALSE,30,2,1.4142135623730951,TRUE
londonbeat,1991,"""I've Been Thinking About You""","""londonbeat""",TRUE,1,Geffen,1990-01-01,Geffen,1990,FALSE,31,0,0,FALSE
natural selection,1991,"""Do Anything""","""natural selection""",TRUE,1,Rhino Atlantic,1991-11-01,Rhino Atlantic,1990,FALSE,32,0,0,FALSE
lenny kravitz,1991,"""It Ain't Over 'til It's Over""","""lenny kravitz""",TRUE,3,Virgin Records,1991-04-02,Virgin Records,1990,FALSE,35,2,1.4142135623730951,TRUE
celine dion,1991,"""Where Does My Heart Beat Now""","""celine dion""",TRUE,11,Columbia,1990-04-02,Columbia,1990,FALSE,37,10,3.1622776601683795,TRUE
dj jazzy jeff,1991,"""Summertime""","[""dj jazzy jeff"",""the fresh prince""]",TRUE,2,Jive,1991-07-09,Jive,1990,FALSE,38,1,1,TRUE
scorpions,1991,"""Wind of Change""","""scorpions""",TRUE,1,Island Mercury,1980-03-31,Island Mercury,1990,FALSE,39,0,0,FALSE
rythm syndicate,1991,"""P.A.S.S.I.O.N.""","""rythm syndicate""",TRUE,1,Hieroglyphics Imperium,2000,Hieroglyphics Imperium,1990,FALSE,40,0,0,FALSE
firehouse,1991,"""Love of a Lifetime""","""firehouse""",TRUE,3,SST Records,1987-11-04,SST Records,1990,FALSE,43,2,1.4142135623730951,TRUE
tracie spencer,1991,"""This House""","""tracie spencer""",TRUE,1,Capitol Records,1990-01-01,Capitol Records,1990,FALSE,45,0,0,FALSE
divinyls,1991,"""I Touch Myself""","""divinyls""",TRUE,1,Virgin Records,1991-01-01,Virgin Records,1990,FALSE,52,0,0,FALSE
dna,1991,"""Tom's Diner""","[""dna"",""suzanne vega""]",TRUE,1,A&M,1991-01-01,A&M,1990,TRUE,53,0,0,FALSE
another bad creation,1991,"""Iesha""","""another bad creation""",TRUE,1,UNI/MOTOWN,1991-02-11,UNI; MOTOWN,1990,FALSE,54,0,0,FALSE
bonnie raitt,1991,"""Something to Talk About""","""bonnie raitt""",TRUE,3,Capitol Records,1991-01-01,Capitol Records,1990,FALSE,55,2,1.4142135623730951,TRUE
corina,1991,"""Temptation""","""corina""",TRUE,1,Rhino Atlantic,2005-02-08,Rhino Atlantic,1990,FALSE,58,0,0,FALSE
the klf,1991,"""3 a.m. Eternal""","""the klf""",TRUE,2,OBM Label Group,2012-10-16,OBM Label Group,1990,FALSE,61,1,1,TRUE
enigma,1991,"""Sadeness (Part I)""","""enigma""",TRUE,2,Virgin,1990-01-01,Virgin,1990,FALSE,63,1,1,TRUE
ll cool j,1991,"""Around the Way Girl""","""ll cool j""",TRUE,7,Mercury Records,1985-11-18,Mercury Records,1990,FALSE,64,6,2.449489742783178,TRUE
prince and the new power generation,1991,"""Cream""","""prince and the new power generation""",TRUE,3,Legacy Recordings,1991-10-01,Legacy Recordings,1990,FALSE,66,2,1.4142135623730951,TRUE
heavy d,1991,"""Now That We Found Love""","[""heavy d"",""the boyz""]",TRUE,3,Geffen*,1991,Geffen*,1990,FALSE,67,2,1.4142135623730951,TRUE
seal,1991,"""Crazy""","""seal""",TRUE,5,Rhino/Warner Records,1991-05-24,Rhino; Warner Records,1990,TRUE,75,4,2,TRUE
michael w. smith,1991,"""Place in this World""","""michael w. smith""",TRUE,1,Star Song Music (STR),1985-01-01,Star Song Music (STR),1990,FALSE,77,0,0,FALSE
chris isaak,1991,"""Wicked Game""","""chris isaak""",TRUE,1,Chris Isaak,1989-06-13,Chris Isaak,1990,FALSE,79,0,0,FALSE
oleta adams,1991,"""Get Here""","""oleta adams""",TRUE,1,Island Mercury,1990-01-01,Island Mercury,1990,FALSE,80,0,0,FALSE
tevin campbell,1991,"""Round and Round""","""tevin campbell""",TRUE,5,Rhino/Warner Records,1990,Rhino; Warner Records,1990,TRUE,81,4,2,TRUE
queensrÿche,1991,"""Silent Lucidity""","""queensrÿche""",TRUE,1,Capitol Records,1988,Capitol Records,1990,FALSE,82,0,0,FALSE
aaron neville,1991,"""Everybody Plays the Fool""","""aaron neville""",TRUE,1,A&M,1991-01-01,A&M,1990,TRUE,86,0,0,FALSE
gerardo,1991,"""Rico Suave""","""gerardo""",TRUE,1,Interscope,1991-01-01,Interscope,1990,FALSE,89,0,0,FALSE
deee-lite,1991,"""Groove Is in the Heart""","""deee-lite""",TRUE,1,Rhino/Elektra,1990,Rhino; Elektra,1990,TRUE,91,0,0,FALSE
chesney hawkes,1991,"""The One and Only""","""chesney hawkes""",TRUE,1,Chrysalis Records,1991-04-13,Chrysalis Records,1990,FALSE,93,0,0,FALSE
naughty by nature,1991,"""O.P.P.""","""naughty by nature""",TRUE,4,"Tommy Boy Music, LLC",1991-09-03,"Tommy Boy Music, LLC",1990,FALSE,94,3,1.7320508075688772,TRUE
winger,1991,"""Miles Away""","""winger""",TRUE,1,BMG Rights Management (US) LLC,1990-07-24,BMG Rights Management (US) LLC,1990,FALSE,97,0,0,FALSE
salt-n-pepa,1991,"""Do You Want Me""","""salt-n-pepa""",TRUE,3,Mercury Records,1993-10-12,Mercury Records,1990,FALSE,98,2,1.4142135623730951,TRUE
sir mix-a-lot,1992,"""Baby Got Back""","""sir mix-a-lot""",TRUE,1,American Recordings Catalog P&D,1992-01-01,American Recordings Catalog P&D,1990,FALSE,2,0,0,FALSE
kris kross,1992,"""Jump""","""kris kross""",TRUE,4,The Bicycle Music Company,1989-01-01,The Bicycle Music Company,1990,FALSE,3,3,1.7320508075688772,TRUE
tlc,1992,"""Baby-Baby-Baby""","""tlc""",TRUE,10,Epic,1982-11-30,Epic,1990,FALSE,5,9,3,TRUE
red hot chili peppers,1992,"""Under the Bridge""","""red hot chili peppers""",TRUE,5,Warner Records,1991-09-24,Warner Records,1990,FALSE,8,4,2,TRUE
jon secada,1992,"""Just Another Day""","""jon secada""",TRUE,4,SBK/EMI RECORDS,1992-01-01,SBK; EMI RECORDS,1990,TRUE,10,3,1.7320508075688772,TRUE
shanice,1992,"""I Love Your Smile""","""shanice""",TRUE,2,UNI/MOTOWN,1991-11-19,UNI; MOTOWN,1990,FALSE,11,1,1,TRUE
mr. big,1992,"""To Be with You""","""mr. big""",TRUE,2,evoxs,1991,evoxs,1990,FALSE,12,1,1,TRUE
right said fred,1992,"""I'm Too Sexy""","""right said fred""",TRUE,1,Virgin Records,1992-07-11,Virgin Records,1990,FALSE,13,0,0,FALSE
billy ray cyrus,1992,"""Achy Breaky Heart""","""billy ray cyrus""",TRUE,1,Mercury Nashville,1992,Mercury Nashville,1990,FALSE,15,0,0,FALSE
tom cochrane,1992,"""Life Is a Highway""","""tom cochrane""",TRUE,1,Universal Music Canada,1991-09-19,Universal Music Canada,1990,FALSE,18,0,0,FALSE
cece peniston,1992,"""Finally""","""cece peniston""",TRUE,3,A&M,1992-01-01,A&M,1990,TRUE,20,2,1.4142135623730951,TRUE
patty smyth,1992,"""Sometimes Love Just Ain't Enough""","[""patty smyth"",""don henley""]",TRUE,1,A&M,1979-01-01,A&M,1990,TRUE,22,0,0,FALSE
house of pain,1992,"""Jump Around""","""house of pain""",TRUE,1,"Tommy Boy Music, LLC",1992-07-21,"Tommy Boy Music, LLC",1990,FALSE,24,0,0,FALSE
joe public,1992,"""Live and Learn""","""joe public""",TRUE,1,Columbia/Legacy,1992-01-28,Columbia; Legacy,1990,TRUE,30,0,0,FALSE
jodeci,1992,"""Come and Talk to Me""","""jodeci""",TRUE,4,Universal (MT),1991-05-28,Universal (MT),1990,FALSE,31,3,1.7320508075688772,TRUE
nirvana,1992,"""Smells Like Teen Spirit""","""nirvana""",TRUE,1,Geffen,1991-09-26,Geffen,1990,FALSE,32,0,0,FALSE
sophie b. hawkins,1992,"""Damn I Wish I Was Your Lover""","""sophie b. hawkins""",TRUE,3,Columbia,1992-04-06,Columbia,1990,FALSE,34,2,1.4142135623730951,TRUE
arrested development,1992,"""Tennessee""","""arrested development""",TRUE,3,Capitol Records,1992-03-24,Capitol Records,1990,FALSE,40,2,1.4142135623730951,TRUE
p.m. dawn,1992,"""Set Adrift on Memory Bliss""","""p.m. dawn""",TRUE,4,V2,1991-09-24,V2,1990,FALSE,44,3,1.7320508075688772,TRUE
shakespears sister,1992,"""Stay""","""shakespears sister""",TRUE,1,London Music Stream,1992-01-13,London Music Stream,1990,FALSE,45,0,0,FALSE
hammer,1992,"""2 Legit 2 Quit""","""hammer""",TRUE,2,Capitol Records,1991-01-01,Capitol Records,1990,FALSE,46,1,1,TRUE
kws,1992,"""Please Don't Go""","""kws""",TRUE,1,Rhino,1979-05-01,Rhino,1990,TRUE,47,0,0,FALSE
mint condition,1992,"""Breakin' My Heart (Pretty Brown Eyes)""","""mint condition""",TRUE,1,Perspective Records,1991-01-01,Perspective Records,1990,FALSE,48,0,0,FALSE
toad the wet sprocket,1992,"""All I Want""","""toad the wet sprocket""",TRUE,1,Columbia,1991-08-27,Columbia,1990,FALSE,53,0,0,FALSE
the heights,1992,"""How Do You Talk to an Angel""","""the heights""",TRUE,2,Albert Productions,1981,Albert Productions,1990,FALSE,59,1,1,TRUE
ugly kid joe,1992,"""Everything About You""","""ugly kid joe""",TRUE,2,Island Mercury,1992-01-01,Island Mercury,1990,FALSE,72,1,1,TRUE
n2deep,1992,"""Back to the Hotel""","""n2deep""",TRUE,1,40 Ounce Records,1992-06-01,40 Ounce Records,1990,FALSE,78,0,0,FALSE
kathy troccoli,1992,"""Everything Changes""","""kathy troccoli""",TRUE,1,"Reunion Records, Inc",2000-06-20,"Reunion Records, Inc",1990,FALSE,79,0,0,FALSE
jade,1992,"""I Wanna Love You""","""jade""",TRUE,4,Giant,1992-05-22,Giant,1990,FALSE,83,3,1.7320508075688772,TRUE
mary j. blige,1992,"""Real Love""","""mary j. blige""",TRUE,9,Uptown,1992-01-01,Uptown,1990,FALSE,85,8,2.8284271247461903,TRUE
charles,1992,"""Would I Lie to You?""","[""charles"",""eddie""]",TRUE,1,Capitol Records,1992-01-01,Capitol Records,1990,FALSE,90,0,0,FALSE
das efx,1992,"""They Want EFX""","""das efx""",TRUE,1,Rhino Atlantic,1992-04-07,Rhino Atlantic,1990,FALSE,99,0,0,FALSE
tag team,1993,"""Whoomp! (There It Is)""","""tag team""",TRUE,2,Westbound Records,1993-05-07,Westbound Records,1990,FALSE,2,1,1,TRUE
silk,1993,"""Freak Me""","""silk""",TRUE,2,Rhino/Elektra,1992,Rhino; Elektra,1990,TRUE,5,1,1,TRUE
swv,1993,"""Weak""","""swv""",TRUE,6,RCA Records Label,1992-10-27,RCA Records Label,1990,FALSE,6,5,2.23606797749979,TRUE
shai,1993,"""If I Ever Fall in Love""","""shai""",TRUE,3,Gasoline Alley,1992-01-01,Gasoline Alley,1990,FALSE,7,2,1.4142135623730951,TRUE
wreckx-n-effect,1993,"""Rump Shaker""","""wreckx-n-effect""",TRUE,1,Geffen*,1992-01-01,Geffen*,1990,FALSE,9,0,0,FALSE
snow,1993,"""Informer""","""snow""",TRUE,1,EastWest,1993,EastWest,1990,FALSE,10,0,0,FALSE
dr. dre,1993,"""Nuthin' but a 'G' Thang""","""dr. dre""",TRUE,6,"ARY, Inc. under exclusive license to Interscope Records",1992-12-15,"ARY, Inc. under exclusive license to Interscope Records",1990,FALSE,11,5,2.23606797749979,TRUE
h-town,1993,"""Knockin' da Boots""","""h-town""",TRUE,1,H-TOWN MUSIC INC.,1993-01-28,H-TOWN MUSIC INC.,1990,FALSE,14,0,0,FALSE
duice,1993,"""Dazzey Duks""","""duice""",TRUE,1,Westbound Records,1992-03-18,Westbound Records,1990,FALSE,16,0,0,FALSE
robin s.,1993,"""Show Me Love""","""robin s.""",TRUE,1,Atlantic Records,1993-06-15,Atlantic Records,1990,FALSE,17,0,0,FALSE
soul asylum,1993,"""Runaway Train""","""soul asylum""",TRUE,2,Columbia,1992-10-06,Columbia,1990,FALSE,22,1,1,TRUE
paperboy,1993,"""Ditty""","""paperboy""",TRUE,1,Mercury Records,1993-01-01,Mercury Records,1990,FALSE,24,0,0,FALSE
the proclaimers,1993,"""I'm Gonna Be (500 Miles)""","""the proclaimers""",TRUE,1,Parlophone UK,1988,Parlophone UK,1990,FALSE,27,0,0,FALSE
spin doctors,1993,"""Two Princes""","""spin doctors""",TRUE,1,Epic/Legacy,1991,Epic; Legacy,1990,TRUE,28,0,0,FALSE
tony! toni! toné!,1993,"""If I Had No Loot""","""tony! toni! toné!""",TRUE,2,Qwest Records IGA,1991-01-01,Qwest Records IGA,1990,FALSE,35,1,1,TRUE
onyx,1993,"""Slam""","""onyx""",TRUE,1,Mercury Records,1993-01-01,Mercury Records,1990,FALSE,37,0,0,FALSE
95 south,1993,"""Whoot, There It Is""","""95 south""",TRUE,1,Quality,1993-01-01,Quality,1990,FALSE,44,0,0,FALSE
toni braxton,1993,"""Another Sad Love Song""","""toni braxton""",TRUE,9,Arista/LaFace Records,1993-07-13,Arista; LaFace Records,1990,TRUE,46,8,2.8284271247461903,TRUE
4 non blondes,1993,"""What's Up?""","""4 non blondes""",TRUE,1,Interscope,1992-01-01,Interscope,1990,FALSE,50,0,0,FALSE
ace of base,1993,"""All That She Wants""","""ace of base""",TRUE,6,Playground Music,1992-01-01,Playground Music,1990,FALSE,51,5,2.23606797749979,TRUE
brian mcknight,1993,"""One Last Cry""","""brian mcknight""",TRUE,4,Island Mercury,1992-06-23,Island Mercury,1990,FALSE,54,3,1.7320508075688772,TRUE
xscape,1993,"""Just Kickin' It""","""xscape""",TRUE,4,So So Def/Columbia,1993-10-12,So So Def; Columbia,1990,FALSE,55,3,1.7320508075688772,TRUE
2pac,1993,"""I Get Around""","""2pac""",TRUE,6,Interscope,1993-02-16,Interscope,1990,FALSE,56,5,2.23606797749979,TRUE
portrait,1993,"""Here We Go Again!""","""portrait""",TRUE,1,Capitol Records,1992-01-01,Capitol Records,1990,FALSE,59,0,0,FALSE
positive k,1993,"""I Got a Man""","""positive k""",TRUE,1,Island Records,1992-01-01,Island Records,1990,TRUE,63,0,0,FALSE
zhané,1993,"""Hey Mr. D.J.""","""zhané""",TRUE,2,Motown,1994-01-01,Motown,1990,FALSE,64,1,1,TRUE
cypress hill,1993,"""Insane in the Brain""","""cypress hill""",TRUE,1,Ruffhouse/Columbia,1993-06-22,Ruffhouse; Columbia,1990,FALSE,65,0,0,FALSE
jeremy jordan,1993,"""The Right Kind of Love""","""jeremy jordan""",TRUE,1,Giant,1992-03-31,Giant,1990,FALSE,68,0,0,FALSE
inner circle,1993,"""Bad Boys""","""inner circle""",TRUE,2,DubShot Records/Sound Bwoy Ent,1992-06-02,DubShot Records; Sound Bwoy Ent,1990,FALSE,69,1,1,TRUE
boy krazy,1993,"""That's What Love Can Do""","""boy krazy""",TRUE,1,Pete Waterman Entertainment Limited,1991,Pete Waterman Entertainment Limited,1990,FALSE,70,0,0,FALSE
restless heart,1993,"""When She Cries""","""restless heart""",TRUE,1,RCA/Legacy,1992-10-09,RCA; Legacy,1990,TRUE,76,0,0,FALSE
ice cube,1993,"""It Was a Good Day""","""ice cube""",TRUE,3,Priority Records,1992-11-17,Priority Records,1990,FALSE,78,2,1.4142135623730951,TRUE
captain hollywood project,1993,"""More and More""","""captain hollywood project""",TRUE,1,High Fashion Music,1992-07-10,High Fashion Music,1990,FALSE,79,0,0,FALSE
digable planets,1993,"""Rebirth of Slick (Cool Like Dat)""","""digable planets""",TRUE,1,Pendulum Records,1993-01-01,Pendulum Records,1990,FALSE,81,0,0,FALSE
haddaway,1993,"""What Is Love""","""haddaway""",TRUE,2,BMG Rights Management GmbH,1992-01-18,BMG Rights Management GmbH,1990,FALSE,82,1,1,TRUE
joey lawrence,1993,"""Nothin' My Love Can't Fix""","""joey lawrence""",TRUE,1,Geffen,1993-01-01,Geffen,1990,FALSE,92,0,0,FALSE
green jellÿ,1993,"""Three Little Pigs""","""green jellÿ""",TRUE,1,Say-10,1989-02-02,Say-10,1990,FALSE,93,0,0,FALSE
gin blossoms,1993,"""Hey Jealousy""","""gin blossoms""",TRUE,3,A&M,1992-01-01,A&M,1990,TRUE,95,2,1.4142135623730951,TRUE
all-4-one,1994,"""I Swear""","""all-4-one""",TRUE,3,Atlantic Records,1994-01-01,Atlantic Records,1990,FALSE,2,2,1.4142135623730951,TRUE
lisa loeb,1994,"""Stay (I Missed You)""","[""lisa loeb"",""nine stories""]",TRUE,2,"FURIOUS ROSE PRODUCTIONS, INC.",1992,"FURIOUS ROSE PRODUCTIONS, INC.",1990,FALSE,6,1,1,TRUE
r. kelly,1994,"""Bump n' Grind""","""r. kelly""",TRUE,18,Motown,1990-01-01,Motown,1990,FALSE,11,17,4.123105625617661,TRUE
john mellencamp,1994,"""Wild Night""","[""john mellencamp"",""meshell ndegeocello""]",TRUE,2,John Mellencamp 2023 (Island),1987,John Mellencamp 2023 (Island),1990,FALSE,15,1,1,TRUE
coolio,1994,"""Fantastic Voyage""","""coolio""",TRUE,5,"Tommy Boy Music, LLC",1994-07-19,"Tommy Boy Music, LLC",1990,FALSE,20,4,2,TRUE
big mountain,1994,"""Baby, I Love Your Way""","""big mountain""",TRUE,1,RCA/Hansa,1994-03-21,RCA; Hansa,1990,FALSE,21,0,0,FALSE
warren g,1994,"""Regulate""","[""warren g"",""nate dogg""]",TRUE,3,Island Records,1994-06-07,Island Records,1990,TRUE,22,2,1.4142135623730951,TRUE
aaliyah,1994,"""Back & Forth""","""aaliyah""",TRUE,11,Jive,1994-05-22,Jive,1990,FALSE,24,10,3.1622776601683795,TRUE
collective soul,1994,"""Shine""","""collective soul""",TRUE,3,Craft Recordings,1994-03-22,Craft Recordings,1990,FALSE,31,2,1.4142135623730951,TRUE
sheryl crow,1994,"""All I Wanna Do""","""sheryl crow""",TRUE,8,A&M,1993-08-03,A&M,1990,TRUE,34,7,2.6457513110645907,TRUE
crash test dummies,1994,"""Mmm Mmm Mmm Mmm""","""crash test dummies""",TRUE,1,Arista,1993-04-05,Arista,1990,TRUE,35,0,0,FALSE
da brat,1994,"""Funkdafied""","""da brat""",TRUE,3,So So Def/Work,1994-06-28,So So Def; Work,1990,FALSE,37,2,1.4142135623730951,TRUE
drs,1994,"""Gangsta Lean""","""drs""",TRUE,1,"ARY, Inc. under exclusive license to Interscope Records",1992-12-15,"ARY, Inc. under exclusive license to Interscope Records",1990,FALSE,39,0,0,FALSE
10,1994,"""Because the Night""","[""10"",""000 maniacs""]",TRUE,1,Arista,1978,Arista,1990,TRUE,40,0,0,FALSE
us3,1994,"""Cantaloop (Flip Fantasia)""","""us3""",TRUE,1,Blue Note Records,1993-01-01,Blue Note Records,1990,FALSE,41,0,0,FALSE
melissa etheridge,1994,"""Come to My Window""","""melissa etheridge""",TRUE,5,Island Records,1993-01-01,Island Records,1990,TRUE,43,4,2,TRUE
changing faces,1994,"""Stroke You Up""","""changing faces""",TRUE,2,Big Beat Records,1994-08-16,Big Beat Records,1990,FALSE,44,1,1,TRUE
crystal waters,1994,"""100% Pure Love""","""crystal waters""",TRUE,2,Sub Pop Records,1990-09-13,Sub Pop Records,1990,FALSE,46,1,1,TRUE
the cranberries,1994,"""Linger""","""the cranberries""",TRUE,2,Island Records,1993-03-01,Island Records,1990,TRUE,49,1,1,TRUE
beck,1994,"""Loser""","""beck""",TRUE,1,DGC,1993-01-18,DGC,1990,FALSE,50,0,0,FALSE
snoop doggy dogg,1994,"""Gin and Juice""","""snoop doggy dogg""",TRUE,2,Death Row Records/gamma.,1993-11-23,Death Row Records; gamma.,1990,FALSE,52,1,1,TRUE
immature,1994,"""Never Lie""","""immature""",TRUE,2,Geffen*,1994-01-01,Geffen*,1990,FALSE,53,1,1,TRUE
domino,1994,"""Getto Jam""","""domino""",TRUE,1,Universal Music Group International,1970-11-01,Universal Music Group International,1990,FALSE,55,0,0,FALSE
aaron hall,1994,"""I Miss You""","""aaron hall""",TRUE,1,Epic/Legacy,1972-01-01,Epic; Legacy,1990,TRUE,57,0,0,FALSE
real mccoy,1994,"""Another Night""","""real mccoy""",TRUE,5,Arista,1995-03-14,Arista,1990,TRUE,63,4,2,TRUE
69 boyz,1994,"""Tootsee Roll""","""69 boyz""",TRUE,2,LIL JOE RECORDS,1994-05-27,LIL JOE RECORDS,1990,FALSE,65,1,1,TRUE
jimmy cliff,1994,"""I Can See Clearly Now (from Cool Runnings)""","""jimmy cliff""",TRUE,1,Columbia/Legacy,2002-06-11,Columbia; Legacy,1990,TRUE,66,0,0,FALSE
erasure,1994,"""Always""","""erasure""",TRUE,1,Rhino/Warner Records,1992-11-16,Rhino; Warner Records,1990,TRUE,73,0,0,FALSE
gabrielle,1994,"""Dreams""","""gabrielle""",TRUE,1,Universal-Island Records Ltd.,1993-01-01,Universal-Island Records Ltd.,1990,FALSE,75,0,0,FALSE
culture beat,1994,"""Mr. Vain""","""culture beat""",TRUE,1,Abfahrt Media,1993-01-01,Abfahrt Media,1990,FALSE,76,0,0,FALSE
joshua kadison,1994,"""Beautiful in My Eyes""","""joshua kadison""",TRUE,1,SBK/EMI RECORDS,1993-01-01,SBK; EMI RECORDS,1990,TRUE,79,0,0,FALSE
eternal,1994,"""Stay""","""eternal""",TRUE,1,Parlophone UK,1993-11-29,Parlophone UK,1990,FALSE,80,0,0,FALSE
craig mack,1994,"""Flava in Ya Ear""","""craig mack""",TRUE,1,Rhino Atlantic,1994,Rhino Atlantic,1990,FALSE,81,0,0,FALSE
queen latifah,1994,"""U.N.I.T.Y.""","""queen latifah""",TRUE,1,Motown,1993-11-16,Motown,1990,FALSE,82,0,0,FALSE
ini kamoze,1994,"""Here Comes the Hotstepper""","""ini kamoze""",TRUE,2,Columbia,1994,Columbia,1990,FALSE,85,1,1,TRUE
tim mcgraw,1994,"""Don't Take the Girl""","""tim mcgraw""",TRUE,10,Curb Records,1994-03-22,Curb Records,1990,FALSE,87,9,3,TRUE
ahmad,1994,"""Back in the Day""","""ahmad""",TRUE,1,Giant,1994-05-20,Giant,1990,FALSE,93,0,0,FALSE
general public,1994,"""I'll Take You There (from Threesome)""","""general public""",TRUE,1,Strange Famous Records,2008,Strange Famous Records,1990,FALSE,95,0,0,FALSE
brandy,1994,"""I Wanna Be Down""","""brandy""",TRUE,11,Rhino Atlantic,1994,Rhino Atlantic,1990,FALSE,100,10,3.1622776601683795,TRUE
monica,1995,"""Don't Take It Personal (Just One of Dem Days)""","""monica""",TRUE,8,Arista/Legacy,1995,Arista; Legacy,1990,TRUE,9,7,2.6457513110645907,TRUE
montell jordan,1995,"""This Is How We Do It""","""montell jordan""",TRUE,4,RAL (Rush Associated Label),1995-01-01,RAL (Rush Associated Label),1990,FALSE,10,3,1.7320508075688772,TRUE
dionne farris,1995,"""I Know""","""dionne farris""",TRUE,1,Columbia/Legacy,1994-05-01,Columbia; Legacy,1990,TRUE,11,0,0,FALSE
adina howard,1995,"""Freak Like Me""","""adina howard""",TRUE,1,Rhino/Elektra,1995,Rhino; Elektra,1990,TRUE,13,0,0,FALSE
blues traveler,1995,"""Run-Around""","""blues traveler""",TRUE,2,A&M,1994-01-01,A&M,1990,TRUE,14,1,1,TRUE
shaggy,1995,"""Boombastic"" / ""In the Summertime""","""shaggy""",TRUE,3,Virgin Records,1995-07-11,Virgin Records,1990,FALSE,18,2,1.4142135623730951,TRUE
nicki french,1995,"""Total Eclipse of the Heart""","""nicki french""",TRUE,1,Sony Music CG,1983-04-11,Sony Music CG,1990,FALSE,19,0,0,FALSE
des'ree,1995,"""You Gotta Be""","""des'ree""",TRUE,1,S2,1994,S2,1990,FALSE,20,0,0,FALSE
hootie,1995,"""Hold My Hand""","[""hootie"",""the blowfish""]",TRUE,6,Atlantic Records,1994-07-01,Atlantic Records,1990,FALSE,22,5,2.23606797749979,TRUE
the notorious b.i.g.,1995,"""One More Chance/Stay with Me""","""the notorious b.i.g.""",TRUE,4,Rhino Atlantic,1995,Rhino Atlantic,1990,FALSE,23,3,1.7320508075688772,TRUE
soul for real,1995,"""Candy Rain""","""soul for real""",TRUE,2,Geffen,1994-01-01,Geffen,1990,FALSE,25,1,1,TRUE
blessid union of souls,1995,"""I Believe""","""blessid union of souls""",TRUE,1,Capitol Records,1995-01-01,Capitol Records,1990,FALSE,27,0,0,FALSE
jon b.,1995,"""Someone to Love""","[""jon b."",""babyface""]",TRUE,2,Yab Yum Records/550 Music/Epic,1995-05-19,Yab Yum Records; 550 Music; Epic,1990,FALSE,32,1,1,TRUE
brownstone,1995,"""If You Love Me""","""brownstone""",TRUE,1,MJJ Music,1993-06-01,MJJ Music,1990,FALSE,34,0,0,FALSE
martin page,1995,"""In the House of Stone and Light""","""martin page""",TRUE,1,Island Mercury,1994-01-01,Island Mercury,1990,FALSE,35,0,0,FALSE
