primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year
james taylor,1971,"""You've Got a Friend""","""james taylor""",FALSE,4,Rhino/Warner Records,1971-04-01
jean knight,1971,"""Mr. Big Stuff""","""jean knight""",TRUE,1,Stax,1971
lee michaels,1971,"""Do You Know What I Mean""","""lee michaels""",TRUE,1,Manifesto Records,1971-11-20
joan baez,1971,"""The Night They Drove Old Dixie Down""","""joan baez""",TRUE,1,CAPITOL CATALOG MKT (C92),1969-09-22
marvin gaye,1971,"""What's Going On""","""marvin gaye""",TRUE,5,UNI/MOTOWN,1971-05-21
paul,1971,"""Uncle Albert/Admiral Halsey""","[""paul"",""linda mccartney""]",TRUE,1,Paul McCartney Catalog,1971-05-17
bill withers,1971,"""Ain't No Sunshine""","""bill withers""",TRUE,3,Columbia/Legacy,1971-05-01
five man electrical band,1971,"""Signs""","""five man electrical band""",TRUE,1,Mercury Records,1981-02-12
tom jones,1971,"""She's a Lady""","""tom jones""",FALSE,2,UMC (Universal Music Catalogue),1971-05-01
the free movement,1971,"""I've Found Someone of My Own""","""the free movement""",TRUE,1,Columbia/Legacy,1971-12-15
murray head,1971,"""Superstar""","[""murray head"",""the trinidad singers""]",TRUE,2,Polydor Records,2012-01-01
jerry reed,1971,"""Amos Moses""","""jerry reed""",TRUE,2,RCA Records Label,1970-12-01
the grass roots,1971,"""Temptation Eyes""","""the grass roots""",TRUE,1,Geffen,1969-11-01
the carpenters,1971,"""Superstar""","""the carpenters""",FALSE,11,A&M,1971
george harrison,1971,"""My Sweet Lord""/""Isn't It A Pity""","""george harrison""",TRUE,4,BMG Rights Management (US) LLC,1970-11-20
donny osmond,1971,"""Sweet and Innocent""","""donny osmond""",FALSE,5,Universal Records,1971-09-05
ocean,1971,"""Put Your Hand in the Hand""","""ocean""",TRUE,1,Legacy Recordings,1971
daddy dewdrop,1971,"""Chick-A-Boom (Don't Ya Jes' Love It)""","""daddy dewdrop""",TRUE,1,Jive,2004
the carpenters,1971,"""For All We Know""","""the carpenters""",FALSE,11,A&M,1971
gordon lightfoot,1971,"""If You Could Read My Mind""","""gordon lightfoot""",TRUE,2,143/Warner Records,1970
sammi smith,1971,"""Help Me Make It Through the Night""","""sammi smith""",TRUE,1,Varese Sarabande,1996-01-01
the carpenters,1971,"""Rainy Days and Mondays""","""the carpenters""",FALSE,11,A&M,1971
cher,1971,"""Gypsys, Tramps & Thieves""","""cher""",TRUE,10,Geffen,1971-01-01
the jackson 5,1971,"""Never Can Say Goodbye""","""the jackson 5""",FALSE,7,UNI/MOTOWN,1971-04-12
lynn anderson,1971,"""Rose Garden""","""lynn anderson""",TRUE,1,Columbia/Legacy,1966
hamilton,1971,"""Don't Pull Your Love""","[""hamilton"",""joe frank"",""reynolds""]",TRUE,2,Geffen,1971-05-01
ringo starr,1971,"""It Don't Come Easy""","""ringo starr""",TRUE,5,Parlophone,1973-01-01
nitty gritty dirt band,1971,"""Mr. Bojangles""","""nitty gritty dirt band""",TRUE,1,Capitol Nashville,2001-01-01
the fuzz,1971,"""I Love You for All Seasons""","""the fuzz""",TRUE,1,Rhino,1971-01-01
the dramatics,1971,"""Whatcha See Is Whatcha Get""","""the dramatics""",TRUE,2,Stax,1971
carly simon,1971,"""That's the Way I've Always Heard It Should Be""","""carly simon""",TRUE,6,Rhino/Elektra,1971-03
stevie wonder,1971,"""If You Really Love Me""","""stevie wonder""",FALSE,18,Motown,1971-04-01
aretha franklin,1971,"""Spanish Harlem""","""aretha franklin""",FALSE,9,Rhino Atlantic,1961
helen reddy,1971,"""I Don't Know How to Love Him""","""helen reddy""",TRUE,7,Capitol Records,1987-01-01
the osmonds,1971,"""Yo-Yo""","""the osmonds""",FALSE,3,Universal Records,1971-06-21
aretha franklin,1971,"""Bridge over Troubled Water""","""aretha franklin""",FALSE,9,Rhino Atlantic,1994-03-22
the partridge family,1971,"""Doesn't Somebody Want to Be Wanted""","""the partridge family""",TRUE,2,Arista,1974
tommy james,1971,"""Draggin' the Line""","""tommy james""",TRUE,1,Rhino,1989
ike,1971,"""Proud Mary""","[""ike"",""tina turner""]",FALSE,2,Craft Recordings,1969-01-05
chicago,1971,"""Beginnings""/""Colour My World""","""chicago""",FALSE,15,Rhino,1971-10-25
the bells,1971,"""Stay Awhile""","""the bells""",TRUE,1,Rover Records,2000-03-01
the stampeders,1971,"""Sweet City Woman""","""the stampeders""",TRUE,1,UNIDISC MUSIC INC.,1971-01-01
lobo,1971,"""Me and You and a Dog Named Boo""","""lobo""",TRUE,2,Rhino Atlantic,1971
paul mccartney,1971,"""Another Day""/""Oh Woman, Oh Why""","""paul mccartney""",TRUE,13,BMG Rights Management (US) LLC,1970-11-20
bread,1971,"""If""","""bread""",FALSE,4,Rhino/Elektra,1971
marvin gaye,1971,"""Mercy Mercy Me (The Ecology)""","""marvin gaye""",FALSE,5,UNI/MOTOWN,1971-05-21
brewer,1971,"""One Toke Over the Line""","[""brewer"",""shipley""]",TRUE,1,Legacy Recordings,1970
8th day,1971,"""She's Not Just Another Woman""","""8th day""",TRUE,1,Edsel,1971-01-01
freda payne,1971,"""Bring the Boys Home""","""freda payne""",FALSE,2,Demon,1971-01-01
rare earth,1971,"""I Just Want to Celebrate""","""rare earth""",FALSE,3,UNI/MOTOWN,1971-06-02
delaney,1971,"""Never Ending Song of Love""","[""delaney"",""bonnie"",""friends""]",TRUE,1,Rhino Atlantic,1971-03-01
freddie hart,1971,"""Easy Loving""","""freddie hart""",TRUE,1,"Foxhole Records, Inc.",2008-01-01
three dog night,1971,"""Liar""","""three dog night""",FALSE,7,Geffen*,1970-01-01
honey cone,1971,"""Stick-Up""","""honey cone""",FALSE,2,Harmless,2014-05-19
mac,1971,"""Chirpy Chirpy Cheep Cheep""","[""mac"",""katie kissoon""]",TRUE,1,RCA Camden,2002-05-28
andy williams,1971,"""(Where Do I Begin?) Love Story""","""andy williams""",TRUE,1,Columbia,1971-02-03
cat stevens,1971,"""Wild World""","""cat stevens""",TRUE,3,UMC (Universal Music Catalogue),1970-11-23
jerry reed,1971,"""When You're Hot, You're Hot""","""jerry reed""",FALSE,2,RCA/Legacy,1971-04-01
the beginning of the end,1971,"""Funky Nassau""","""the beginning of the end""",TRUE,1,LIL JOE RECORDS,1990-07-24
olivia newton-john,1971,"""If Not for You""","""olivia newton-john""",TRUE,13,Primary Wave Music,1973-11-01
king floyd,1971,"""Groove Me""","""king floyd""",TRUE,1,Chimneyville Records,1971-01-01
bobby goldsboro,1971,"""Watching Scotty Grow""","""bobby goldsboro""",TRUE,1,Columbia,1986-08-26
matthews southern comfort,1971,"""Woodstock""","""matthews southern comfort""",TRUE,1,Classic Music Vault,2016-04-01
judy collins,1971,"""Amazing Grace""","""judy collins""",TRUE,1,Elektra Records,1970-01-01
dave edmunds,1971,"""I Hear You Knocking""","""dave edmunds""",TRUE,1,President Records,1970
bee gees,1971,"""Lonely Days""","""bee gees""",FALSE,12,Bee Gees Catalog,1970-11
the fortunes,1971,"""Here Comes That Rainy Day Feeling Again""","""the fortunes""",TRUE,1,CAPITOL CATALOG MKT (C92),1961-10-02
the who,1971,"""Won't Get Fooled Again""","""the who""",TRUE,2,Polydor Records,1971-08-14
denise lasalle,1971,"""Trapped By a Thing Called Love""","""denise lasalle""",TRUE,1,Janus Records,1972-12-19
the jackson 5,1971,"""Mama's Pearl""","""the jackson 5""",FALSE,7,UNI/MOTOWN,1970-09-08
the buoys,1971,"""Timothy""","""the buoys""",TRUE,1,Scepter Records,1971
the partridge family,1971,"""I Woke Up In Love This Morning""","""the partridge family""",FALSE,2,Arista,1974
isaac hayes,1971,"""Theme from Shaft""","""isaac hayes""",TRUE,2,Stax,1971
gladys knight,1971,"""If I Were Your Woman""","[""gladys knight"",""the pips""]",TRUE,7,UNI/MOTOWN,1971-01-01
neil diamond,1971,"""I Am...I Said""","""neil diamond""",FALSE,9,Geffen,1971-11-05
paul stookey,1971,"""The Wedding Song (There Is Love)""","""paul stookey""",TRUE,1,Neworld Multimedia,1971-01-01
wilson pickett,1971,"""Don't Knock My Love""","""wilson pickett""",TRUE,1,Universal Records,1968-08-16
the doors,1971,"""Love Her Madly""","""the doors""",TRUE,2,Rhino/Elektra,1971-04-19
richie havens,1971,"""Here Comes the Sun""","""richie havens""",TRUE,1,Five Star Recordings,1972
wadsworth mansion,1971,"""Sweet Mary""","""wadsworth mansion""",TRUE,1,Sussex Records,1970-09-10
brenda,1971,"""Right on the Tip of My Tongue""","[""brenda"",""the tabulations""]",TRUE,1,Jamie/Guyden,1998-01-01
the 5th dimension,1971,"""One Less Bell to Answer""","""the 5th dimension""",TRUE,2,Arista/Legacy,1970
the doors,1971,"""Riders on the Storm""","""the doors""",FALSE,2,Rhino/Elektra,1971-04-19
perry como,1971,"""It's Impossible""","""perry como""",TRUE,1,RCA/Legacy,1970-12-01
roberta flack,1972,"""The First Time Ever I Saw Your Face""","""roberta flack""",TRUE,6,Atlantic Records,1969
gilbert o'sullivan,1972,"""Alone Again (Naturally)""","""gilbert o'sullivan""",TRUE,3,Salvo,1972-01-01
don mclean,1972,"""American Pie""","""don mclean""",TRUE,3,Capitol Records,1971
harry nilsson,1972,"""Without You""","""harry nilsson""",TRUE,2,RCA Records Label,1971
sammy davis jr.,1972,"""The Candy Man""","""sammy davis jr.""",TRUE,1,Geffen,1995
joe tex,1972,"""I Gotcha""","""joe tex""",TRUE,2,Sony ATV,1969-01-01
bill withers,1972,"""Lean on Me""","""bill withers""",FALSE,3,Columbia/Legacy,1972-05-01
mac davis,1972,"""Baby, Don't Get Hooked on Me""","""mac davis""",TRUE,2,Columbia/Legacy,1972-09-09
melanie,1972,"""Brand New Key""","""melanie""",FALSE,2,Buddah/Legacy,1971-07-01
wayne newton,1972,"""Daddy Don't You Walk So Fast""","""wayne newton""",TRUE,1,Geffen,1971-04-01
al green,1972,"""Let's Stay Together""","""al green""",FALSE,6,Fat Possum,1972
looking glass,1972,"""Brandy (You're a Fine Girl)""","""looking glass""",TRUE,1,Epic/Legacy,1972
the chi-lites,1972,"""Oh Girl""","""the chi-lites""",TRUE,1,Red Bus Music,1975-09-18
gallery,1972,"""Nice to Be with You""","""gallery""",TRUE,1,Sussex Records,1972-09-06
chuck berry,1972,"""My Ding-a-Ling""","""chuck berry""",TRUE,1,Mercury Records,1967-01-01
luther ingram,1972,"""(If Loving You Is Wrong) I Don't Want to Be Right""","""luther ingram""",TRUE,1,Airline Records,1965-03-02
neil young,1972,"""Heart of Gold""","""neil young""",TRUE,1,Reprise,1972-02-01
the stylistics,1972,"""Betcha by Golly, Wow""","""the stylistics""",TRUE,4,AVCO Records Corp.,1973-01-01
the staple singers,1972,"""I'll Take You There""","""the staple singers""",TRUE,2,Stax,1972
michael jackson,1972,"""Ben""","""michael jackson""",TRUE,26,Motown,1972-08-04
robert john,1972,"""The Lion Sleeps Tonight""","""robert john""",TRUE,2,Buddah/Legacy,1970-01-01
billy preston,1972,"""Outa-Space""","""billy preston""",TRUE,4,A&M,1971-01-01
war,1972,"""Slippin' into Darkness""","""war""",TRUE,7,Avenue Records,1972-01-01
the hollies,1972,"""Long Cool Woman in a Black Dress""","""the hollies""",FALSE,3,BMG Rights Management (US) LLC,1970-11-01
mouth,1972,"""How Do You Do""","[""mouth"",""macneal""]",TRUE,1,Geffen*,1996-01-01
neil diamond,1972,"""Song Sung Blue""","""neil diamond""",FALSE,9,Geffen,1972-07-15
america,1972,"""A Horse with No Name""","""america""",TRUE,4,Warner Records,1972
hot butter,1972,"""Popcorn""","""hot butter""",TRUE,1,J Records/Legacy,2001-11-07
the main ingredient,1972,"""Everybody Plays the Fool""","""the main ingredient""",TRUE,2,RCA Records Label,1996-04-30
climax,1972,"""Precious and Few""","""climax""",TRUE,1,Rocky Road Records,1972-06-22
the 5th dimension,1972,"""(Last Night) I Didn't Get to Sleep at All""","""the 5th dimension""",FALSE,2,Arista/Legacy,1972-02-19
the moody blues,1972,"""Nights in White Satin""","""the moody blues""",TRUE,1,UMC (Universal Music Catalogue),1967-11-10
raspberries,1972,"""Go All the Way""","""raspberries""",TRUE,1,Capitol Records,1972
cornelius brothers,1972,"""Too Late to Turn Back Now""","[""cornelius brothers"",""sister rose""]",FALSE,2,Capitol Records,1996-01-01
the o'jays,1972,"""Back Stabbers""","""the o'jays""",TRUE,6,Legacy/Epic Associated,1972-01-01
the osmonds,1972,"""Down by the Lazy River""","""the osmonds""",FALSE,3,Universal Records,1971-06-21
jonathan edwards,1972,"""Sunshine""","""jonathan edwards""",TRUE,1,Rhino/Elektra,1971
mel,1972,"""Starting All Over Again""","[""mel"",""tim""]",TRUE,1,Stax,1972-01-01
badfinger,1972,"""Day After Day""","""badfinger""",FALSE,2,EMI Catalogue,1970-01-09
elton john,1972,"""Rocket Man""","""elton john""",TRUE,28,UMC (Universal Music Catalogue),1970-04-10
michael jackson,1972,"""Rockin' Robin""","""michael jackson""",FALSE,26,Class & Rendezvous,1959
daniel boone,1972,"""Beautiful Sunday""","""daniel boone""",TRUE,1,RKO Music,2013-03-31
dennis coffey,1972,"""Scorpio""","""dennis coffey""",TRUE,1,Clarence Avant Catalog,1971-11-06
cat stevens,1972,"""Morning Has Broken""","""cat stevens""",FALSE,3,UMC (Universal Music Catalogue),1970-04-24
arlo guthrie,1972,"""City of New Orleans""","""arlo guthrie""",TRUE,1,Rising Son Records,1975-09-30
ricky nelson,1972,"""Garden Party""","""ricky nelson""",TRUE,1,Geffen,1972
johnny nash,1972,"""I Can See Clearly Now""","""johnny nash""",TRUE,2,Epic,1972
elvis presley,1972,"""Burning Love""","""elvis presley""",FALSE,3,RCA/Legacy,1973-07-16
betty wright,1972,"""Clean Up Woman""","""betty wright""",TRUE,1,Rhino Atlantic,1972
argent,1972,"""Hold Your Head Up""","""argent""",TRUE,1,Epic,1971
the chakachas,1972,"""Jungle Fever""","""the chakachas""",TRUE,1,AVCO Records Corp.,1972-01-01
bread,1972,"""Everything I Own""","""bread""",FALSE,4,Elektra Records,1972
the dramatics,1972,"""In the Rain""","""the dramatics""",FALSE,2,Stax,1971
al green,1972,"""Look What You Done for Me""","""al green""",FALSE,6,Fat Possum,1972-10-23
donna fargo,1972,"""The Happiest Girl in the Whole U.S.A.""","""donna fargo""",TRUE,2,Mercury Nashville,1986-01-01
t. rex,1972,"""Bang a Gong (Get it On)""","""t. rex""",TRUE,1,Rhino/Warner Records,1971-09-24
paul simon,1972,"""Mother and Child Reunion""","""paul simon""",TRUE,5,Legacy Recordings,1972-01-14
roberta flack,1972,"""Where Is the Love""","[""roberta flack"",""donny hathaway""]",FALSE,6,Rhino Atlantic,1972
al green,1972,"""I'm Still in Love with You""","""al green""",FALSE,6,Fat Possum,1972-10-23
derek and the dominos,1972,"""Layla""","""derek and the dominos""",TRUE,1,Universal Music Group International,1970-11-01
aretha franklin,1972,"""Day Dreaming""","""aretha franklin""",FALSE,9,Rhino Atlantic,1968-06-14
cher,1972,"""The Way of Love""","""cher""",FALSE,10,Geffen,1971-01-01
three dog night,1972,"""Black and White""","""three dog night""",FALSE,7,Warner Records,1967-08-28
dr. hook,1972,"""Sylvia's Mother""","[""dr. hook"",""the medicine show""]",TRUE,8,Columbia,1972
the carpenters,1972,"""Hurting Each Other""","""the carpenters""",FALSE,11,A&M,1972
harry nilsson,1972,"""Coconut""","""harry nilsson""",FALSE,2,RCA Records Label,1971
donny osmond,1972,"""Puppy Love""","""donny osmond""",FALSE,5,Universal Records,1972-05-27
jim croce,1972,"""You Don't Mess Around with Jim""","""jim croce""",TRUE,4,Croce Music Publishing,1966-01-01
