primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappears_after_first,reappearance_count,sqrt_reappearance,row_id,title_clean,artist_clean,track_id,genre,duration_ms,duration_sec,clean_title,search_artist,genre_final,lastfm_genre
the rolling stones,1971,"""Brown Sugar""","""the rolling stones""",TRUE,6,Polydor Records,1971-04-23,Polydor Records,1970,FALSE,16,TRUE,5,2.23606797749979,51,brown sugar,the rolling stones,TREUHEG128F42BA46F,Rock,228666,228.666,Brown Sugar,the rolling stones,Rock,rock
jean knight,1971,"""Mr. Big Stuff""","""jean knight""",TRUE,1,Stax,1971,Stax,1970,FALSE,18,FALSE,0,0,52,mr big stuff,jean knight,TRMCUFM128F92E1732,NA,164560,164.56,Mr. Big Stuff,jean knight,r&b,pop
lee michaels,1971,"""Do You Know What I Mean""","""lee michaels""",TRUE,1,Manifesto Records,1971-11-20,Manifesto Records,1970,FALSE,19,FALSE,0,0,53,do you know what i mean,lee michaels,TRHKAEX128F4266955,Rock,193800,193.8,Do You Know What I Mean,lee michaels,Rock,rock
joan baez,1971,"""The Night They Drove Old Dixie Down""","""joan baez""",TRUE,1,CAPITOL CATALOG MKT (C92),1969-09-22,CAPITOL CATALOG MKT (C92),1970,FALSE,20,FALSE,0,0,54,the night they drove old dixie down,joan baez,TRHBCPS128F93587D7,Folk,206066,206.066,The Night They Drove Old Dixie Down,joan baez,Folk,folk
marvin gaye,1971,"""What's Going On""","""marvin gaye""",TRUE,5,UNI/MOTOWN,1971-05-21,UNI; MOTOWN,1970,TRUE,21,TRUE,4,2,55,whats going on,marvin gaye,TRHIIPX128F424BFF8,NA,233000,233,What's Going On,marvin gaye,jazz,jazz
paul,1971,"""Uncle Albert/Admiral Halsey""","[""paul"",""linda mccartney""]",TRUE,1,Paul McCartney Catalog,1971-05-17,Paul McCartney Catalog,1970,FALSE,22,FALSE,0,0,56,uncle albertadmiral halsey,paul,NA,NA,295146,295.146,Uncle Albert/Admiral Halsey,paul & linda mccartney,NA,pop
bill withers,1971,"""Ain't No Sunshine""","""bill withers""",TRUE,3,Columbia/Legacy,1971-05-01,Columbia; Legacy,1970,TRUE,23,TRUE,2,1.4142135623731,57,aint no sunshine,bill withers,TRNBGVB128F426AC12,Jazz	RnB,125093,125.093,Ain't No Sunshine,bill withers,Jazz	RnB,blues
five man electrical band,1971,"""Signs""","""five man electrical band""",TRUE,1,Mercury Records,1981-02-12,Mercury Records,1970,FALSE,24,FALSE,0,0,58,signs,five man electrical band,NA,NA,241693,241.693,Signs,five man electrical band,NA,rock
the free movement,1971,"""I've Found Someone of My Own""","""the free movement""",TRUE,1,Columbia/Legacy,1971-12-15,Columbia; Legacy,1970,TRUE,26,FALSE,0,0,59,ive found someone of my own,the free movement,NA,NA,226514,226.514,I've Found Someone of My Own,the free movement,NA,NA
murray head,1971,"""Superstar""","[""murray head"",""the trinidad singers""]",TRUE,2,Polydor Records,2012-01-01,Polydor Records,1970,FALSE,27,TRUE,1,1,60,superstar,murray head,NA,NA,255831,255.831,Superstar,murray head & the trinidad singers,NA,NA
jerry reed,1971,"""Amos Moses""","""jerry reed""",TRUE,2,RCA Records Label,1970-12-01,RCA Records Label,1970,FALSE,28,FALSE,1,1,61,amos moses,jerry reed,TRPAJOT12903CACE1B,Country,139226,139.226,Amos Moses,jerry reed,Country,country
the grass roots,1971,"""Temptation Eyes""","""the grass roots""",TRUE,1,Geffen,1969-11-01,Geffen,1970,FALSE,29,FALSE,0,0,62,temptation eyes,the grass roots,TRMTACE12903CA6A58,Rock,159173,159.173,Temptation Eyes,the grass roots,Rock,pop
george harrison,1971,"""My Sweet Lord""/""Isn't It A Pity""","""george harrison""",TRUE,4,BMG Rights Management (US) LLC,1970-11-20,BMG Rights Management (US) LLC,1970,FALSE,31,TRUE,3,1.73205080756888,63,my sweet lordisnt it a pity,george harrison,NA,NA,244517,244.517,My Sweet Lord/Isn't It A Pity,george harrison,NA,NA
ocean,1971,"""Put Your Hand in the Hand""","""ocean""",TRUE,1,Legacy Recordings,1971,Legacy Recordings,1970,FALSE,33,FALSE,0,0,64,put your hand in the hand,ocean,NA,NA,176706,176.706,Put Your Hand in the Hand,ocean,NA,pop
daddy dewdrop,1971,"""Chick-A-Boom (Don't Ya Jes' Love It)""","""daddy dewdrop""",TRUE,1,Jive,2004,Jive,1970,FALSE,34,FALSE,0,0,65,chickaboom dont ya jes love it,daddy dewdrop,TRRHDNX128F92F3189,Pop	Rock,171533,171.533,Chick-A-Boom (Don't Ya Jes' Love It),daddy dewdrop,Pop	Rock,pop
gordon lightfoot,1971,"""If You Could Read My Mind""","""gordon lightfoot""",TRUE,2,143/Warner Records,1970,143; Warner Records,1970,TRUE,36,TRUE,1,1,66,if you could read my mind,gordon lightfoot,TRYRSQZ128F9307EB4,Folk,228840,228.84,If You Could Read My Mind,gordon lightfoot,Folk,folk
sammi smith,1971,"""Help Me Make It Through the Night""","""sammi smith""",TRUE,1,Varese Sarabande,1996-01-01,Varese Sarabande,1970,FALSE,37,FALSE,0,0,67,help me make it through the night,sammi smith,TRRDESB128F92FE598,Country,155533,155.533,Help Me Make It Through the Night,sammi smith,Country,country
cher,1971,"""Gypsys, Tramps & Thieves""","""cher""",TRUE,10,Geffen,1971-01-01,Geffen,1970,FALSE,39,TRUE,9,3,68,gypsys tramps and thieves,cher,TRDIFHF128F422B9CD,Pop,158000,158,"Gypsys, Tramps & Thieves",cher,Pop,pop
roberta flack,1972,"""The First Time Ever I Saw Your Face""","""roberta flack""",TRUE,6,Atlantic Records,1969,Atlantic Records,1970,TRUE,1,TRUE,5,2.23606797749979,69,the first time ever i saw your face,roberta flack,NA,NA,260666,260.666,The First Time Ever I Saw Your Face,roberta flack,jazz,pop
gilbert o'sullivan,1972,"""Alone Again (Naturally)""","""gilbert o'sullivan""",TRUE,3,Salvo,1972-01-01,Salvo,1970,FALSE,2,TRUE,2,1.4142135623731,70,alone again naturally,gilbert osullivan,TRGVFTB128F427A5EB,Pop	Rock,221373,221.373,Alone Again (Naturally),gilbert o'sullivan,Pop	Rock,pop
don mclean,1972,"""American Pie""","""don mclean""",TRUE,3,Capitol Records,1971,Capitol Records,1970,TRUE,3,TRUE,2,1.4142135623731,71,american pie,don mclean,NA,NA,516893,516.893,American Pie,don mclean,folk,folk
harry nilsson,1972,"""Without You""","""harry nilsson""",TRUE,2,RCA Records Label,1971,RCA Records Label,1970,FALSE,4,FALSE,1,1,72,without you,harry nilsson,NA,NA,201000,201,Without You,harry nilsson,folk,pop
sammy davis jr.,1972,"""The Candy Man""","""sammy davis jr.""",TRUE,1,Geffen,1995,Geffen,1970,FALSE,5,FALSE,0,0,73,the candy man,sammy davis jr,NA,NA,188226,188.226,The Candy Man,sammy davis jr.,jazz,jazz
joe tex,1972,"""I Gotcha""","""joe tex""",TRUE,2,Sony ATV,1969-01-01,Sony ATV,1970,FALSE,6,TRUE,1,1,74,i gotcha,joe tex,TRGLHMW128F92D448D,NA,148813,148.813,I Gotcha,joe tex,blues,pop
mac davis,1972,"""Baby, Don't Get Hooked on Me""","""mac davis""",TRUE,2,Columbia/Legacy,1972-09-09,Columbia; Legacy,1970,TRUE,8,TRUE,1,1,75,baby dont get hooked on me,mac davis,TRHRWCT128F4267ABD,NA,183933,183.933,"Baby, Don't Get Hooked on Me",mac davis,NA,NA
wayne newton,1972,"""Daddy Don't You Walk So Fast""","""wayne newton""",TRUE,1,Geffen,1971-04-01,Geffen,1970,FALSE,10,FALSE,0,0,76,daddy dont you walk so fast,wayne newton,TRZVJHD128F9312B0E,Pop	Rock,206333,206.333,Daddy Don't You Walk So Fast,wayne newton,Pop	Rock,NA
looking glass,1972,"""Brandy (You're a Fine Girl)""","""looking glass""",TRUE,1,Epic/Legacy,1972,Epic; Legacy,1970,TRUE,12,FALSE,0,0,77,brandy youre a fine girl,looking glass,TRZVKAR128F42739E8,NA,186826,186.826,Brandy (You're a Fine Girl),looking glass,pop rock,pop
the chi-lites,1972,"""Oh Girl""","""the chi-lites""",TRUE,1,Red Bus Music,1975-09-18,Red Bus Music,1970,FALSE,13,FALSE,0,0,78,oh girl,the chilites,TRMJCEA12903CF4B2B,NA,216280,216.28,Oh Girl,the chi-lites,NA,pop
gallery,1972,"""Nice to Be with You""","""gallery""",TRUE,1,Sussex Records,1972-09-06,Sussex Records,1970,FALSE,14,FALSE,0,0,79,nice to be with you,gallery,NA,NA,157162,157.162,Nice to Be with You,gallery,NA,rock
chuck berry,1972,"""My Ding-a-Ling""","""chuck berry""",TRUE,1,Mercury Records,1967-01-01,Mercury Records,1970,FALSE,15,FALSE,0,0,80,my dingaling,chuck berry,TRGOCNW12903CD6354,Rock,223573,223.573,My Ding-a-Ling,chuck berry,Rock,rock
luther ingram,1972,"""(If Loving You Is Wrong) I Don't Want to Be Right""","""luther ingram""",TRUE,1,Airline Records,1965-03-02,Airline Records,1970,FALSE,16,FALSE,0,0,81,if loving you is wrong i dont want to be right,luther ingram,TRIRFMY128F92DE23E,RnB,216800,216.8,(If Loving You Is Wrong) I Don't Want to Be Right,luther ingram,RnB,blues
neil young,1972,"""Heart of Gold""","""neil young""",TRUE,1,Reprise,1972-02-01,Reprise,1970,FALSE,17,FALSE,0,0,82,heart of gold,neil young,NA,NA,187110,187.11,Heart of Gold,neil young,folk,rock
the stylistics,1972,"""Betcha by Golly, Wow""","""the stylistics""",TRUE,4,AVCO Records Corp.,1973-01-01,AVCO Records Corp.,1970,FALSE,18,TRUE,3,1.73205080756888,83,betcha by golly wow,the stylistics,TRVAKYB12903CBFA1D,RnB,253004,253.004,"Betcha by Golly, Wow",the stylistics,RnB,pop
the staple singers,1972,"""I'll Take You There""","""the staple singers""",TRUE,2,Stax,1972,Stax,1970,FALSE,19,TRUE,1,1,84,ill take you there,the staple singers,NA,NA,196826,196.826,I'll Take You There,the staple singers,r&b,pop
michael jackson,1972,"""Ben""","""michael jackson""",TRUE,26,Motown,1972-08-04,Motown,1970,TRUE,20,TRUE,25,5,85,ben,michael jackson,TRWXXNY128F932154D,NA,167386,167.386,Ben,michael jackson,vocal,pop
robert john,1972,"""The Lion Sleeps Tonight""","""robert john""",TRUE,2,Buddah/Legacy,1970-01-01,Buddah; Legacy,1970,TRUE,21,TRUE,1,1,86,the lion sleeps tonight,robert john,NA,NA,153706,153.706,The Lion Sleeps Tonight,robert john,NA,rock
billy preston,1972,"""Outa-Space""","""billy preston""",TRUE,4,A&M,1971-01-01,A&M,1970,FALSE,22,TRUE,3,1.73205080756888,87,outaspace,billy preston,TRJHSNY128F1484C8F,RnB,250866,250.866,Outa-Space,billy preston,RnB,rock
war,1972,"""Slippin' into Darkness""","""war""",TRUE,7,Avenue Records,1972-01-01,Avenue Records,1970,FALSE,23,TRUE,6,2.44948974278318,88,slippin into darkness,war,NA,NA,227373,227.373,Slippin' into Darkness,war,blues,rock
mouth,1972,"""How Do You Do""","[""mouth"",""macneal""]",TRUE,1,Geffen*,1996-01-01,Geffen*,1970,FALSE,25,FALSE,0,0,89,how do you do,mouth,NA,NA,244133,244.133,How Do You Do,mouth & macneal,NA,pop
america,1972,"""A Horse with No Name""","""america""",TRUE,4,Warner Records,1972,Warner Records,1970,TRUE,27,TRUE,3,1.73205080756888,90,a horse with no name,america,TRQZIIC128F932D273,Rock,252239,252.239,A Horse with No Name,america,Rock,rock
hot butter,1972,"""Popcorn""","""hot butter""",TRUE,1,J Records/Legacy,2001-11-07,J Records; Legacy,1970,TRUE,28,FALSE,0,0,91,popcorn,hot butter,NA,NA,151440,151.44,Popcorn,hot butter,electronic,electronic
the main ingredient,1972,"""Everybody Plays the Fool""","""the main ingredient""",TRUE,2,RCA Records Label,1996-04-30,RCA Records Label,1970,FALSE,29,TRUE,1,1,92,everybody plays the fool,the main ingredient,TRQASXH128F4285461,RnB,202253,202.253,Everybody Plays the Fool,the main ingredient,RnB,pop
climax,1972,"""Precious and Few""","""climax""",TRUE,1,Rocky Road Records,1972-06-22,Rocky Road Records,1970,FALSE,30,FALSE,0,0,93,precious and few,climax,TRGOFES128F92F1260,NA,164653,164.653,Precious and Few,climax,NA,rock
the moody blues,1972,"""Nights in White Satin""","""the moody blues""",TRUE,1,UMC (Universal Music Catalogue),1967-11-10,UMC (Universal Music Catalogue),1970,FALSE,32,FALSE,0,0,94,nights in white satin,the moody blues,TRWCHTI128F145622A,NA,269106,269.106,Nights in White Satin,the moody blues,blues,rock
raspberries,1972,"""Go All the Way""","""raspberries""",TRUE,1,Capitol Records,1972,Capitol Records,1970,TRUE,33,FALSE,0,0,95,go all the way,raspberries,NA,NA,205346,205.346,Go All the Way,raspberries,pop rock,rock
the o'jays,1972,"""Back Stabbers""","""the o'jays""",TRUE,6,Legacy/Epic Associated,1972-01-01,Legacy; Epic Associated,1970,TRUE,35,TRUE,5,2.23606797749979,96,back stabbers,the ojays,TRWWXHN128F426EAA0,RnB,186093,186.093,Back Stabbers,the o'jays,RnB,pop
jonathan edwards,1972,"""Sunshine""","""jonathan edwards""",TRUE,1,Rhino/Elektra,1971,Rhino; Elektra,1970,TRUE,37,FALSE,0,0,97,sunshine,jonathan edwards,NA,NA,138733,138.733,Sunshine,jonathan edwards,folk,folk
