primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label
dionne warwick,1970,"""I'll Never Fall in Love Again""","""dionne warwick""",TRUE,5,Rhino,1970,,1970s,TRUE
the new seekers,1970,"""Look What They've Done to My Song Ma""","""the new seekers""",TRUE,2,Rhino/Elektra,1971,,1970s,TRUE
joe south,1970,"""Walk A Mile In My Shoes""","""joe south""",TRUE,1,CAPITOL CATALOG MKT (C92),1968-01-01,,1970s,FALSE
b.b. king,1970,"""The Thrill Is Gone""","""b.b. king""",TRUE,1,Geffen,1969-12-05,,1970s,FALSE
glen campbell,1970,"""It's Only Make Believe""","""glen campbell""",TRUE,4,Capitol Nashville,1970-01-01,,1970s,FALSE
aretha franklin,1970,"""Call Me""","""aretha franklin""",TRUE,9,Rhino Atlantic,1968-06-14,,1970s,TRUE
three dog night,1971,"""Joy to the World""","""three dog night""",FALSE,7,Geffen*,1970-01-01,,1970s,FALSE
rod stewart,1971,"""Maggie May""/""Reason to Believe""","""rod stewart""",TRUE,14,Mercury Records,1971-05-18,,1970s,FALSE
carole king,1971,"""It's Too Late""/""I Feel the Earth Move""","""carole king""",TRUE,2,Ode/Epic/Legacy,1971,,1970s,TRUE
the osmonds,1971,"""One Bad Apple""","""the osmonds""",TRUE,3,Universal Records,1970-11-14,,1970s,FALSE
bee gees,1971,"""How Can You Mend a Broken Heart""","""bee gees""",TRUE,12,Bee Gees Catalog,1971-09,,1970s,FALSE
raiders,1971,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""","""raiders""",TRUE,1,Columbia/Legacy,1971,,1970s,TRUE
donny osmond,1971,"""Go Away Little Girl""","""donny osmond""",TRUE,5,Universal Records,1971-10-11,,1970s,FALSE
john denver,1971,"""Take Me Home, Country Roads""","""john denver""",TRUE,6,RCA/Legacy,1971,,1970s,TRUE
the temptations,1971,"""Just My Imagination (Running Away with Me)""","""the temptations""",FALSE,5,Motown,1971-01-01,,1970s,FALSE
tony orlando,1971,"""Knock Three Times""","[""tony orlando"",""dawn""]",TRUE,4,BMG Special Products,1970,,1970s,FALSE
janis joplin,1971,"""Me and Bobby McGee""","""janis joplin""",TRUE,1,Columbia/Legacy,1971-01-11,,1970s,TRUE
al green,1971,"""Tired of Being Alone""","""al green""",TRUE,6,Fat Possum,1971-08-14,,1970s,FALSE
honey cone,1971,"""Want Ads""","""honey cone""",TRUE,2,Tooth & Nail (TNN),2000-01-01,,1970s,FALSE
the undisputed truth,1971,"""Smiling Faces Sometimes""","""the undisputed truth""",TRUE,1,Motown,1971-01-01,,1970s,FALSE
cornelius brothers,1971,"""Treat Her Like a Lady""","[""cornelius brothers"",""sister rose""]",TRUE,2,Arista/LaFace Records,1994-04-26,,1970s,FALSE
the rolling stones,1971,"""Brown Sugar""","""the rolling stones""",TRUE,6,Polydor Records,1971-04-23,,1970s,FALSE
james taylor,1971,"""You've Got a Friend""","""james taylor""",FALSE,4,Rhino/Warner Records,1971-04-01,,1970s,TRUE
jean knight,1971,"""Mr. Big Stuff""","""jean knight""",TRUE,1,Stax,1971,,1970s,FALSE
lee michaels,1971,"""Do You Know What I Mean""","""lee michaels""",TRUE,1,Manifesto Records,1971-11-20,,1970s,FALSE
joan baez,1971,"""The Night They Drove Old Dixie Down""","""joan baez""",TRUE,1,CAPITOL CATALOG MKT (C92),1969-09-22,,1970s,FALSE
marvin gaye,1971,"""What's Going On""","""marvin gaye""",TRUE,5,UNI/MOTOWN,1971-05-21,,1970s,TRUE
paul,1971,"""Uncle Albert/Admiral Halsey""","[""paul"",""linda mccartney""]",TRUE,1,Paul McCartney Catalog,1971-05-17,,1970s,FALSE
bill withers,1971,"""Ain't No Sunshine""","""bill withers""",TRUE,3,Columbia/Legacy,1971-05-01,,1970s,TRUE
five man electrical band,1971,"""Signs""","""five man electrical band""",TRUE,1,Mercury Records,1981-02-12,,1970s,FALSE
tom jones,1971,"""She's a Lady""","""tom jones""",FALSE,2,UMC (Universal Music Catalogue),1971-05-01,,1970s,FALSE
the free movement,1971,"""I've Found Someone of My Own""","""the free movement""",TRUE,1,Columbia/Legacy,1971-12-15,,1970s,TRUE
murray head,1971,"""Superstar""","[""murray head"",""the trinidad singers""]",TRUE,2,Polydor Records,2012-01-01,,1970s,FALSE
jerry reed,1971,"""Amos Moses""","""jerry reed""",TRUE,2,RCA Records Label,1970-12-01,,1970s,FALSE
the grass roots,1971,"""Temptation Eyes""","""the grass roots""",TRUE,1,Geffen,1969-11-01,,1970s,FALSE
the carpenters,1971,"""Superstar""","""the carpenters""",FALSE,11,A&M,1971,,1970s,FALSE
george harrison,1971,"""My Sweet Lord""/""Isn't It A Pity""","""george harrison""",TRUE,4,BMG Rights Management (US) LLC,1970-11-20,,1970s,FALSE
donny osmond,1971,"""Sweet and Innocent""","""donny osmond""",FALSE,5,Universal Records,1971-09-05,,1970s,FALSE
ocean,1971,"""Put Your Hand in the Hand""","""ocean""",TRUE,1,Legacy Recordings,1971,,1970s,FALSE
daddy dewdrop,1971,"""Chick-A-Boom (Don't Ya Jes' Love It)""","""daddy dewdrop""",TRUE,1,Jive,2004,,1970s,FALSE
the carpenters,1971,"""For All We Know""","""the carpenters""",FALSE,11,A&M,1971,,1970s,FALSE
gordon lightfoot,1971,"""If You Could Read My Mind""","""gordon lightfoot""",TRUE,2,143/Warner Records,1970,,1970s,TRUE
sammi smith,1971,"""Help Me Make It Through the Night""","""sammi smith""",TRUE,1,Varese Sarabande,1996-01-01,,1970s,FALSE
the carpenters,1971,"""Rainy Days and Mondays""","""the carpenters""",FALSE,11,A&M,1971,,1970s,FALSE
cher,1971,"""Gypsys, Tramps & Thieves""","""cher""",TRUE,10,Geffen,1971-01-01,,1970s,FALSE
the jackson 5,1971,"""Never Can Say Goodbye""","""the jackson 5""",FALSE,7,UNI/MOTOWN,1971-04-12,,1970s,TRUE
lynn anderson,1971,"""Rose Garden""","""lynn anderson""",TRUE,1,Columbia/Legacy,1966,,1970s,TRUE
hamilton,1971,"""Don't Pull Your Love""","[""hamilton"",""joe frank"",""reynolds""]",TRUE,2,Geffen,1971-05-01,,1970s,FALSE
ringo starr,1971,"""It Don't Come Easy""","""ringo starr""",TRUE,5,Parlophone,1973-01-01,,1970s,FALSE
nitty gritty dirt band,1971,"""Mr. Bojangles""","""nitty gritty dirt band""",TRUE,1,Capitol Nashville,2001-01-01,,1970s,FALSE
the fuzz,1971,"""I Love You for All Seasons""","""the fuzz""",TRUE,1,Rhino,1971-01-01,,1970s,TRUE
the dramatics,1971,"""Whatcha See Is Whatcha Get""","""the dramatics""",TRUE,2,Stax,1971,,1970s,FALSE
carly simon,1971,"""That's the Way I've Always Heard It Should Be""","""carly simon""",TRUE,6,Rhino/Elektra,1971-03,,1970s,TRUE
stevie wonder,1971,"""If You Really Love Me""","""stevie wonder""",FALSE,18,Motown,1971-04-01,,1970s,FALSE
aretha franklin,1971,"""Spanish Harlem""","""aretha franklin""",FALSE,9,Rhino Atlantic,1961,,1970s,TRUE
helen reddy,1971,"""I Don't Know How to Love Him""","""helen reddy""",TRUE,7,Capitol Records,1987-01-01,,1970s,TRUE
the osmonds,1971,"""Yo-Yo""","""the osmonds""",FALSE,3,Universal Records,1971-06-21,,1970s,FALSE
aretha franklin,1971,"""Bridge over Troubled Water""","""aretha franklin""",FALSE,9,Rhino Atlantic,1994-03-22,,1970s,TRUE
the partridge family,1971,"""Doesn't Somebody Want to Be Wanted""","""the partridge family""",TRUE,2,Arista,1974,,1970s,FALSE
tommy james,1971,"""Draggin' the Line""","""tommy james""",TRUE,1,Rhino,1989,,1970s,TRUE
ike,1971,"""Proud Mary""","[""ike"",""tina turner""]",FALSE,2,Craft Recordings,1969-01-05,,1970s,FALSE
chicago,1971,"""Beginnings""/""Colour My World""","""chicago""",FALSE,15,Rhino,1971-10-25,,1970s,TRUE
the bells,1971,"""Stay Awhile""","""the bells""",TRUE,1,Rover Records,2000-03-01,,1970s,FALSE
the stampeders,1971,"""Sweet City Woman""","""the stampeders""",TRUE,1,UNIDISC MUSIC INC.,1971-01-01,,1970s,FALSE
lobo,1971,"""Me and You and a Dog Named Boo""","""lobo""",TRUE,2,Rhino Atlantic,1971,,1970s,TRUE
paul mccartney,1971,"""Another Day""/""Oh Woman, Oh Why""","""paul mccartney""",TRUE,13,BMG Rights Management (US) LLC,1970-11-20,,1970s,FALSE
bread,1971,"""If""","""bread""",FALSE,4,Rhino/Elektra,1971,,1970s,TRUE
marvin gaye,1971,"""Mercy Mercy Me (The Ecology)""","""marvin gaye""",FALSE,5,UNI/MOTOWN,1971-05-21,,1970s,TRUE
brewer,1971,"""One Toke Over the Line""","[""brewer"",""shipley""]",TRUE,1,Legacy Recordings,1970,,1970s,FALSE
8th day,1971,"""She's Not Just Another Woman""","""8th day""",TRUE,1,Edsel,1971-01-01,,1970s,FALSE
freda payne,1971,"""Bring the Boys Home""","""freda payne""",FALSE,2,Demon,1971-01-01,,1970s,FALSE
rare earth,1971,"""I Just Want to Celebrate""","""rare earth""",FALSE,3,UNI/MOTOWN,1971-06-02,,1970s,TRUE
delaney,1971,"""Never Ending Song of Love""","[""delaney"",""bonnie"",""friends""]",TRUE,1,Rhino Atlantic,1971-03-01,,1970s,TRUE
freddie hart,1971,"""Easy Loving""","""freddie hart""",TRUE,1,"Foxhole Records, Inc.",2008-01-01,,1970s,FALSE
three dog night,1971,"""Liar""","""three dog night""",FALSE,7,Geffen*,1970-01-01,,1970s,FALSE
honey cone,1971,"""Stick-Up""","""honey cone""",FALSE,2,Harmless,2014-05-19,,1970s,FALSE
mac,1971,"""Chirpy Chirpy Cheep Cheep""","[""mac"",""katie kissoon""]",TRUE,1,RCA Camden,2002-05-28,,1970s,FALSE
andy williams,1971,"""(Where Do I Begin?) Love Story""","""andy williams""",TRUE,1,Columbia,1971-02-03,,1970s,FALSE
cat stevens,1971,"""Wild World""","""cat stevens""",TRUE,3,UMC (Universal Music Catalogue),1970-11-23,,1970s,FALSE
jerry reed,1971,"""When You're Hot, You're Hot""","""jerry reed""",FALSE,2,RCA/Legacy,1971-04-01,,1970s,TRUE
the beginning of the end,1971,"""Funky Nassau""","""the beginning of the end""",TRUE,1,LIL JOE RECORDS,1990-07-24,,1970s,FALSE
olivia newton-john,1971,"""If Not for You""","""olivia newton-john""",TRUE,13,Primary Wave Music,1973-11-01,,1970s,FALSE
king floyd,1971,"""Groove Me""","""king floyd""",TRUE,1,Chimneyville Records,1971-01-01,,1970s,FALSE
bobby goldsboro,1971,"""Watching Scotty Grow""","""bobby goldsboro""",TRUE,1,Columbia,1986-08-26,,1970s,FALSE
matthews southern comfort,1971,"""Woodstock""","""matthews southern comfort""",TRUE,1,Classic Music Vault,2016-04-01,,1970s,FALSE
judy collins,1971,"""Amazing Grace""","""judy collins""",TRUE,1,Elektra Records,1970-01-01,,1970s,FALSE
dave edmunds,1971,"""I Hear You Knocking""","""dave edmunds""",TRUE,1,President Records,1970,,1970s,FALSE
bee gees,1971,"""Lonely Days""","""bee gees""",FALSE,12,Bee Gees Catalog,1970-11,,1970s,FALSE
the fortunes,1971,"""Here Comes That Rainy Day Feeling Again""","""the fortunes""",TRUE,1,CAPITOL CATALOG MKT (C92),1961-10-02,,1970s,FALSE
the who,1971,"""Won't Get Fooled Again""","""the who""",TRUE,2,Polydor Records,1971-08-14,,1970s,FALSE
denise lasalle,1971,"""Trapped By a Thing Called Love""","""denise lasalle""",TRUE,1,Janus Records,1972-12-19,,1970s,FALSE
the jackson 5,1971,"""Mama's Pearl""","""the jackson 5""",FALSE,7,UNI/MOTOWN,1970-09-08,,1970s,TRUE
the buoys,1971,"""Timothy""","""the buoys""",TRUE,1,Scepter Records,1971,,1970s,FALSE
the partridge family,1971,"""I Woke Up In Love This Morning""","""the partridge family""",FALSE,2,Arista,1974,,1970s,FALSE
isaac hayes,1971,"""Theme from Shaft""","""isaac hayes""",TRUE,2,Stax,1971,,1970s,FALSE
gladys knight,1971,"""If I Were Your Woman""","[""gladys knight"",""the pips""]",TRUE,7,UNI/MOTOWN,1971-01-01,,1970s,TRUE
neil diamond,1971,"""I Am...I Said""","""neil diamond""",FALSE,9,Geffen,1971-11-05,,1970s,FALSE
paul stookey,1971,"""The Wedding Song (There Is Love)""","""paul stookey""",TRUE,1,Neworld Multimedia,1971-01-01,,1970s,FALSE
wilson pickett,1971,"""Don't Knock My Love""","""wilson pickett""",TRUE,1,Universal Records,1968-08-16,,1970s,FALSE
the doors,1971,"""Love Her Madly""","""the doors""",TRUE,2,Rhino/Elektra,1971-04-19,,1970s,TRUE
richie havens,1971,"""Here Comes the Sun""","""richie havens""",TRUE,1,Five Star Recordings,1972,,1970s,FALSE
wadsworth mansion,1971,"""Sweet Mary""","""wadsworth mansion""",TRUE,1,Sussex Records,1970-09-10,,1970s,FALSE
brenda,1971,"""Right on the Tip of My Tongue""","[""brenda"",""the tabulations""]",TRUE,1,Jamie/Guyden,1998-01-01,,1970s,FALSE
the 5th dimension,1971,"""One Less Bell to Answer""","""the 5th dimension""",TRUE,2,Arista/Legacy,1970,,1970s,TRUE
the doors,1971,"""Riders on the Storm""","""the doors""",FALSE,2,Rhino/Elektra,1971-04-19,,1970s,TRUE
perry como,1971,"""It's Impossible""","""perry como""",TRUE,1,RCA/Legacy,1970-12-01,,1970s,TRUE
roberta flack,1972,"""The First Time Ever I Saw Your Face""","""roberta flack""",TRUE,6,Atlantic Records,1969,,1970s,TRUE
gilbert o'sullivan,1972,"""Alone Again (Naturally)""","""gilbert o'sullivan""",TRUE,3,Salvo,1972-01-01,,1970s,FALSE
don mclean,1972,"""American Pie""","""don mclean""",TRUE,3,Capitol Records,1971,,1970s,TRUE
harry nilsson,1972,"""Without You""","""harry nilsson""",TRUE,2,RCA Records Label,1971,,1970s,FALSE
sammy davis jr.,1972,"""The Candy Man""","""sammy davis jr.""",TRUE,1,Geffen,1995,,1970s,FALSE
joe tex,1972,"""I Gotcha""","""joe tex""",TRUE,2,Sony ATV,1969-01-01,,1970s,FALSE
bill withers,1972,"""Lean on Me""","""bill withers""",FALSE,3,Columbia/Legacy,1972-05-01,,1970s,TRUE
mac davis,1972,"""Baby, Don't Get Hooked on Me""","""mac davis""",TRUE,2,Columbia/Legacy,1972-09-09,,1970s,TRUE
melanie,1972,"""Brand New Key""","""melanie""",FALSE,2,Buddah/Legacy,1971-07-01,,1970s,TRUE
wayne newton,1972,"""Daddy Don't You Walk So Fast""","""wayne newton""",TRUE,1,Geffen,1971-04-01,,1970s,FALSE
al green,1972,"""Let's Stay Together""","""al green""",FALSE,6,Fat Possum,1972,,1970s,FALSE
looking glass,1972,"""Brandy (You're a Fine Girl)""","""looking glass""",TRUE,1,Epic/Legacy,1972,,1970s,TRUE
the chi-lites,1972,"""Oh Girl""","""the chi-lites""",TRUE,1,Red Bus Music,1975-09-18,,1970s,FALSE
gallery,1972,"""Nice to Be with You""","""gallery""",TRUE,1,Sussex Records,1972-09-06,,1970s,FALSE
chuck berry,1972,"""My Ding-a-Ling""","""chuck berry""",TRUE,1,Mercury Records,1967-01-01,,1970s,FALSE
luther ingram,1972,"""(If Loving You Is Wrong) I Don't Want to Be Right""","""luther ingram""",TRUE,1,Airline Records,1965-03-02,,1970s,FALSE
neil young,1972,"""Heart of Gold""","""neil young""",TRUE,1,Reprise,1972-02-01,,1970s,FALSE
the stylistics,1972,"""Betcha by Golly, Wow""","""the stylistics""",TRUE,4,AVCO Records Corp.,1973-01-01,,1970s,FALSE
the staple singers,1972,"""I'll Take You There""","""the staple singers""",TRUE,2,Stax,1972,,1970s,FALSE
michael jackson,1972,"""Ben""","""michael jackson""",TRUE,26,Motown,1972-08-04,,1970s,FALSE
robert john,1972,"""The Lion Sleeps Tonight""","""robert john""",TRUE,2,Buddah/Legacy,1970-01-01,,1970s,TRUE
billy preston,1972,"""Outa-Space""","""billy preston""",TRUE,4,A&M,1971-01-01,,1970s,FALSE
war,1972,"""Slippin' into Darkness""","""war""",TRUE,7,Avenue Records,1972-01-01,,1970s,FALSE
